siteID,date,month,year,plotID,tagID,taxonID,scientificName,taxonRank,identificationQualifier,nativeStatusCode,sex,recapture,fate,hindfootLength,earLength,tailLength,totalLength,weight,dataQF
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2388,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,24,14,70,NA,25,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.L1416,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,20,14,83,NA,26,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2041,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,18,15,83,NA,26,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2386,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,14,90,NA,29,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2396,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,18,13,83,NA,32,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2399,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,21,15,90,NA,33,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.303481,MYGA,Myodes gapperi,species,NA,N,F,Y,released,15,NA,NA,NA,28,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.R2395,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,14,90,NA,25,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.R2229,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,15,86,NA,26,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.R2385,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,15,88,NA,27,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.O023J2160506,BLBR,Blarina brevicauda,species,NA,N,M,N,dead,NA,NA,NA,NA,NA,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2387,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,19,14,82,NA,25,NA
HARV,2016-05-06,5,2016,HARV_008,NEON.MAM.D01.R2382,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,14,85,NA,27,NA
HARV,2016-05-06,5,2016,HARV_021,NEON.MAM.D01.L2214,MYGA,Myodes gapperi,species,NA,N,F,N,released,19,NA,NA,NA,35,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.O023F920160506,BLBR,Blarina brevicauda,species,NA,N,M,N,dead,NA,NA,NA,NA,NA,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.R2380,PELE,Peromyscus leucopus,species,cf. species,N,M,N,released,20,15,84,NA,25,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.R1651,TAST,Tamias striatus,species,NA,N,F,Y,released,32,NA,NA,NA,91,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.R2384,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,21,15,76,NA,27,NA
HARV,2016-05-06,5,2016,HARV_023,NEON.MAM.D01.O023A3160506,BLBR,Blarina brevicauda,species,NA,N,F,N,dead,NA,NA,NA,NA,NA,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.933984,MYGA,Myodes gapperi,species,NA,N,M,Y,released,18,NA,NA,NA,32,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.R2236,TAST,Tamias striatus,species,NA,N,F,N,released,32,NA,NA,NA,90,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.933636,MYGA,Myodes gapperi,species,NA,N,F,Y,released,20,NA,NA,NA,25,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.L2213,MYGA,Myodes gapperi,species,NA,N,M,Y,released,18,NA,NA,NA,31,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.L2214,MYGA,Myodes gapperi,species,NA,N,F,Y,released,18,NA,NA,NA,27,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.R2232,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,15,76,NA,27,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.R0817,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,21,15,88,NA,34,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.006204,MYGA,Myodes gapperi,species,NA,N,M,Y,released,18,NA,NA,NA,28,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.R1775,PELE,Peromyscus leucopus,species,cf. species,N,F,Y,released,20,15,85,NA,30,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.R2231,MYGA,Myodes gapperi,species,NA,N,F,N,released,18,NA,NA,NA,30,NA
HARV,2016-05-07,5,2016,HARV_021,NEON.MAM.D01.R2378,MYGA,Myodes gapperi,species,NA,N,M,N,released,20,NA,NA,NA,29,NA
HARV,2016-05-07,5,2016,HARV_008,NEON.MAM.D01.L2376,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,16,82,NA,31,NA
HARV,2016-05-07,5,2016,HARV_008,NEON.MAM.D01.L2375,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,14,74,NA,28,NA
HARV,2016-05-07,5,2016,HARV_008,NEON.MAM.D01.R1454,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,20,15,81,NA,24,NA
HARV,2016-05-07,5,2016,HARV_008,NEON.MAM.D01.R1399,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,21,15,83,NA,26,NA
HARV,2016-05-07,5,2016,HARV_008,NEON.MAM.D01.938101,MYGA,Myodes gapperi,species,NA,N,M,Y,released,17,NA,NA,NA,29,NA
HARV,2016-05-07,5,2016,HARV_008,NEON.MAM.D01.L2377,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,15,74,NA,26,NA
HARV,2016-05-07,5,2016,HARV_008,NEON.MAM.D01.R2234,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,19,15,78,NA,24,NA
HARV,2016-05-07,5,2016,HARV_008,NEON.MAM.D01.L2381,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,19,14,73,NA,28,NA
HARV,2016-05-07,5,2016,HARV_023,NEON.MAM.D01.R2222,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,21,16,79,NA,27,NA
HARV,2016-05-07,5,2016,HARV_023,NEON.MAM.D01.L2253,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,NA,20,15,91,NA,38,NA
HARV,2016-05-07,5,2016,HARV_023,NEON.MAM.D01.R2220,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,21,16,83,NA,27,NA
HARV,2016-05-07,5,2016,HARV_023,NEON.MAM.D01.R2252,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,15,78,NA,28,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R0896,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,21,15,92,NA,29,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2248,MYGA,Myodes gapperi,species,NA,N,F,N,released,17,NA,NA,NA,27,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2244,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,19,15,59,NA,24,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R0864,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,19,14,95,NA,29,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.O014F8160508,BLBR,Blarina brevicauda,species,NA,N,M,N,dead,NA,NA,NA,NA,NA,NA
HARV,2016-05-08,5,2016,HARV_006,NEON.MAM.D01.R2393,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,17,13,73,NA,NA,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R0831,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,20,15,80,NA,28,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2230,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,21,16,82,NA,25,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R0891,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,20,15,87,NA,31,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2390,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,15,81,NA,23,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2241,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,15,90,NA,30,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R1521,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,21,16,90,NA,30,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R0844,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,21,16,86,NA,28,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.L1508,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,20,15,92,NA,18,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2246,TAST,Tamias striatus,species,NA,N,M,N,released,31,NA,NA,NA,83,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2240,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,17,96,NA,30,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2239,TAST,Tamias striatus,species,NA,N,M,N,released,31,NA,NA,NA,93,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2235,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,19,14,18,NA,21,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R2262,MYGA,Myodes gapperi,species,NA,N,F,N,released,15,NA,NA,NA,30,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R2255,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,19,83,NA,27,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R1765,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,18,20,82,NA,36,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.L2251,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,18,18,75,NA,30,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R0889,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,23,15,91,NA,31,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2242,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,19,15,83,NA,26,NA
HARV,2016-05-08,5,2016,HARV_014,NEON.MAM.D01.R2243,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,15,79,NA,28,NA
HARV,2016-05-08,5,2016,HARV_006,NEON.MAM.D01.R1350,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,18,15,75,NA,19,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R2162,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,23,19,79,NA,35,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.L2223,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,19,15,70,NA,17,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R2256,MYGA,Myodes gapperi,species,NA,N,F,N,released,18,NA,NA,NA,24,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R0845,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,21,14,79,NA,35,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R2271,MYGA,Myodes gapperi,species,NA,N,F,N,released,18,NA,NA,NA,30,NA
HARV,2016-05-08,5,2016,HARV_032,NEON.MAM.D01.R2260,MYGA,Myodes gapperi,species,NA,N,F,N,released,20,NA,NA,NA,36,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2118,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,19,15,83,NA,25,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R2305,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,22,15,79,NA,28,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R2312,MYGA,Myodes gapperi,species,NA,N,F,N,released,18,NA,NA,NA,32,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.L2303,MYGA,Myodes gapperi,species,NA,N,M,N,released,18,NA,NA,NA,35,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2284,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,14,89,NA,35,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R1232,TAST,Tamias striatus,species,NA,N,M,Y,released,25,NA,NA,NA,90,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2281,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,16,88,NA,25,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2191,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,15,80,NA,26,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R0854,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,20,15,84,NA,27,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2247,TAST,Tamias striatus,species,NA,N,M,N,released,30,NA,NA,NA,110,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2238,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,19,15,87,NA,24,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.L2307,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,14,7,NA,30,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.L2300,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,20,15,74,NA,32,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R2324,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,15,79,NA,27,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.L2311,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,18,90,NA,38,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R2309,MYGA,Myodes gapperi,species,NA,N,F,N,released,17,NA,NA,NA,31,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R1493,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,21,15,81,NA,35,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R2308,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,21,14,79,NA,28,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R2304,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,16,85,NA,35,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R1444,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,20,15,85,NA,33,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R2302,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,19,14,86,NA,31,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R1443,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,22,15,77,NA,36,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.L2035,PELE,Peromyscus leucopus,species,cf. species,N,F,Y,released,20,14,78,NA,31,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2233,PELE,Peromyscus leucopus,species,cf. species,N,M,N,released,21,14,80,NA,22,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2293,TAST,Tamias striatus,species,NA,N,F,N,released,30,NA,NA,NA,74,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2298,MYGA,Myodes gapperi,species,NA,N,F,N,released,17,NA,NA,NA,28,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R0450,TAST,Tamias striatus,species,NA,N,F,Y,released,35,NA,NA,NA,80,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2283,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,15,83,NA,29,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2146,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,20,14,69,NA,25,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2292,PELE,Peromyscus leucopus,species,cf. species,N,F,N,released,20,15,86,NA,32,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R0899,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,20,14,81,NA,24,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R0813,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,20,15,82,NA,28,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2277,TAST,Tamias striatus,species,NA,N,F,N,released,30,NA,NA,NA,73,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2288,MYGA,Myodes gapperi,species,NA,N,M,N,released,17,NA,NA,NA,26,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2245,TAST,Tamias striatus,species,NA,N,M,N,released,33,NA,NA,NA,102,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R0877,PELE,Peromyscus leucopus,species,cf. species,N,F,Y,released,24,15,86,NA,25,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2189,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,21,14,80,NA,26,NA
HARV,2016-05-09,5,2016,HARV_001,NEON.MAM.D01.R2121,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,15,80,NA,23,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.R1495,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,21,15,83,NA,30,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.L2036,PELE,Peromyscus leucopus,species,cf. species,N,F,Y,released,21,13,84,NA,29,NA
HARV,2016-05-09,5,2016,HARV_010,NEON.MAM.D01.300909,MYGA,Myodes gapperi,species,NA,N,M,Y,released,17,NA,NA,NA,33,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.L1296,TAST,Tamias striatus,species,NA,N,M,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.L2377,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2386,PELE,Peromyscus leucopus,species,cf. species,N,F,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2495,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,NA,17,84,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2234,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2421,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,NA,12,68,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2481,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,NA,15,80,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R1982,TAST,Tamias striatus,species,NA,N,F,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.L2407,MYGA,Myodes gapperi,species,NA,N,F,N,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2414,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,NA,16,60,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_023,NEON.MAM.D01.R2418,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,16,82,NA,25,NA
HARV,2016-06-01,6,2016,HARV_023,NEON.MAM.D01.R2415,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,20,15,69,NA,15,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R0804,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R1211,TAST,Tamias striatus,species,NA,N,M,Y,escaped,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2399,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.O008G420160601,MYGA,Myodes gapperi,species,NA,N,F,N,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2428,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,NA,12,65,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.L2489,TAST,Tamias striatus,species,NA,N,M,N,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R1454,PEMA,Peromyscus maniculatus,species,cf. species,N,M,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_023,NEON.MAM.D01.R1651,TAST,Tamias striatus,species,NA,N,F,Y,released,32,NA,NA,NA,81,NA
HARV,2016-06-01,6,2016,HARV_023,NEON.MAM.D01.R2406,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,20,15,85,NA,23,NA
HARV,2016-06-01,6,2016,HARV_023,NEON.MAM.D01.R2400,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,19,16,85,NA,26,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2388,PEMA,Peromyscus maniculatus,species,cf. species,N,F,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.L1416,PELE,Peromyscus leucopus,species,cf. species,N,F,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2379,TAST,Tamias striatus,species,NA,N,M,Y,released,NA,NA,NA,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.L2493,PEMA,Peromyscus maniculatus,species,cf. species,N,F,N,released,NA,15,86,NA,NA,NA
HARV,2016-06-01,6,2016,HARV_008,NEON.MAM.D01.R2434,PEMA,Peromyscus maniculatus,species,cf. species,N,M,N,released,NA,14,71,NA,NA,NA
